name,location,year,kilometers_driven,fuel_type,transmission,owner_type,mileage,engine,power,seats,new_price,price
Chevrolet Beat LS,Kolkata,2010,17088,Petrol,0,First,18.6 kmpl,1199 CC,79.4 bhp,5.0,,1.46
Ford Fiesta 1.4 Duratorq ZXI,Pune,2007,112808,Diesel,0,Second,17.8 kmpl,1399 CC,68 bhp,5.0,,2.05
Ford Figo Diesel EXI,Coimbatore,2014,74980,Diesel,0,First,20.0 kmpl,1399 CC,68 bhp,5.0,,4.08
Maruti Celerio VXI AT,Hyderabad,2014,44600,Petrol,1,First,23.1 kmpl,998 CC,67.04 bhp,5.0,,4.55
Mercedes-Benz A Class A180 CDI,Mumbai,2013,37000,Diesel,1,First,20.0 kmpl,2143 CC,107.3 bhp,5.0,,14.0
Hyundai Creta 1.6 SX,Ahmedabad,2016,21000,Petrol,0,First,15.8 kmpl,1591 CC,121.3 bhp,5.0,13.74 Lakh,10.9
Maruti Wagon R VXI BS IV,Bangalore,2010,81245,Petrol,0,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,2.45
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Delhi,2013,70000,Diesel,1,First,10.0 kmpl,2148 CC,170 bhp,5.0,,15.8
Ford EcoSport 1.5 Ti VCT MT Titanium BE,Mumbai,2017,4018,Petrol,0,First,18.88 kmpl,1499 CC,110.4 bhp,5.0,,8.25
Renault Koleos 2.0 Diesel,Delhi,2013,70000,Diesel,1,Second,13.73 kmpl,1995 CC,148 bhp,5.0,,8.5
Mahindra XUV500 W10 2WD,Coimbatore,2016,56532,Diesel,0,First,16.0 kmpl,2179 CC,140 bhp,7.0,,15.54
Maruti Omni E 8 Str STD,Hyderabad,2013,26875,Petrol,0,First,16.8 kmpl,796 CC,34.2 bhp,8.0,,2.35
Maruti Wagon R VXI,Coimbatore,2015,72599,Petrol,0,First,22.5 kmpl,998 CC,67.04 bhp,5.0,5.72 Lakh,4.32
Ford Endeavour XLT TDCi 4X2,Jaipur,2008,205000,Diesel,0,Second,13.1 kmpl,2499 CC,141 bhp,7.0,,3.9
Hyundai Verna 1.6 SX,Hyderabad,2011,98000,Diesel,0,Second,22.32 kmpl,1582 CC,126.32 bhp,5.0,,5.2
Hyundai i20 Magna 1.2,Mumbai,2018,19500,Petrol,0,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,5.85
Maruti Ertiga ZXI,Bangalore,2013,68000,Petrol,0,Second,16.02 kmpl,1373 CC,93.7 bhp,7.0,,6.25
Mahindra XUV500 W9 AT,Coimbatore,2019,19654,Diesel,1,First,14.0 kmpl,2179 CC,155 bhp,7.0,21.33 Lakh,17.63
Maruti SX4 S Cross DDiS 200 Zeta,Mumbai,2017,26000,Diesel,0,First,23.65 kmpl,1248 CC,88.5 bhp,5.0,,9.75
Mercedes-Benz SLK-Class SLK 350,Bangalore,2015,10000,Petrol,1,First,18.1 kmpl,3498 CC,306 bhp,2.0,,55.0
Volkswagen Polo Diesel Comfortline 1.2L,Hyderabad,2011,75020,Diesel,0,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,4.1
Toyota Fortuner 4x4 MT,Hyderabad,2011,157000,Diesel,0,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,,11.99
Mahindra XUV500 W10 2WD,Kochi,2017,43773,Diesel,0,First,16.0 kmpl,2179 CC,140 bhp,7.0,,13.54
Mercedes-Benz GLE 250d,Mumbai,2016,21000,Diesel,1,First,17.9 kmpl,2143 CC,201.15 bhp,5.0,78.76 Lakh,56.0
Honda Jazz 1.2 VX i VTEC,Chennai,2016,23280,Petrol,0,First,18.7 kmpl,1199 CC,88.7 bhp,5.0,,6.5
Maruti Swift Dzire VDI,Pune,2013,88000,Diesel,0,First,23.4 kmpl,1248 CC,74 bhp,5.0,,4.75
Hyundai Verna 1.6 SX VTVT,Hyderabad,2014,67000,Petrol,0,First,17.01 kmpl,1591 CC,121.3 bhp,5.0,,5.6
Ford Endeavour 3.2 Titanium AT 4X4,Coimbatore,2017,59636,Diesel,1,First,10.91 kmpl,3198 CC,197 bhp,7.0,,29.2
Hyundai i20 1.2 Asta Option,Kolkata,2018,11000,Petrol,0,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,6.35
Honda City 1.5 V MT Sunroof,Mumbai,2013,60669,Petrol,0,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,,4.95
Honda Amaze VX Diesel,Hyderabad,2018,12000,Diesel,0,First,27.4 kmpl,1498 CC,98.6 bhp,5.0,10.34 Lakh,8.5
Hyundai Verna 1.6 SX VTVT (O),Kolkata,2013,35000,Petrol,0,First,17.1 kmpl,1591 CC,121.3 bhp,5.0,,4.5
Honda Mobilio S i DTEC,Chennai,2015,65000,Diesel,0,First,24.2 kmpl,1498 CC,98.6 bhp,7.0,,5.5
Maruti Ertiga ZDI,Kochi,2013,39929,Diesel,0,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,,6.56
Maruti Alto K10 LXI,Pune,2014,49000,Petrol,0,First,24.07 kmpl,998 CC,67.1 bhp,5.0,4.29 Lakh,2.3
Toyota Qualis FS B2,Pune,2004,77757,Diesel,0,Second,13.1 kmpl,2446 CC,75 bhp,10.0,,3.5
Hyundai i10 Sportz,Kochi,2016,21456,Petrol,0,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,4.55
Skoda Laura 1.9 TDI AT Ambiente,Bangalore,2009,74000,Diesel,1,Second,17.0 kmpl,1896 CC,105 bhp,5.0,,7.75
Hyundai i20 Asta Option 1.2,Mumbai,2015,37000,Petrol,0,Second,18.6 kmpl,1197 CC,81.83 bhp,5.0,,5.25
BMW 5 Series 2003-2012 530d Highline,Coimbatore,2013,108640,Diesel,1,First,11.5 kmpl,2993 CC,235 bhp,5.0,,23.29
BMW 3 Series 320d M Sport,Mumbai,2016,38000,Diesel,1,First,22.69 kmpl,1995 CC,190 bhp,5.0,,23.99
Chevrolet Aveo 1.4 LT ABS BSIV,Pune,2010,80000,Petrol,0,First,14.49 kmpl,1399 CC,92.7 bhp,5.0,,1.79
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Mumbai,2011,47000,Diesel,1,Second,14.21 kmpl,2143 CC,203 bhp,5.0,,13.9
Audi A6 2011-2015 2.0 TDI Premium Plus,Kolkata,2013,31000,Diesel,1,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,,18.95
Maruti Wagon R LXI BS IV,Kolkata,2014,40000,Petrol,0,First,20.51 kmpl,998 CC,67.04 bhp,5.0,,2.49
Renault KWID RXT,Jaipur,2016,4152,Petrol,0,First,25.17 kmpl,799 CC,53.3 bhp,5.0,,3.15
Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,Diesel,0,First,21.66 kmpl,1498 CC,108.62 bhp,5.0,10.04 Lakh,6.45
Volkswagen Polo Diesel Comfortline 1.2L,Ahmedabad,2013,55000,Diesel,0,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,4.25
Maruti Alto 800 LXI,Hyderabad,2014,58500,Petrol,0,First,22.74 kmpl,796 CC,47.3 bhp,5.0,,2.75
Hyundai i20 Asta Option 1.2,Kochi,2017,58620,Petrol,0,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,7.14
Toyota Etios Liva G,Mumbai,2012,29605,Petrol,0,First,18.3 kmpl,1197 CC,null bhp,5.0,,2.44
Hyundai i20 1.2 Sportz,Jaipur,2012,71172,Petrol,0,Third,17.0 kmpl,1197 CC,80 bhp,5.0,,3.5
Hyundai i20 1.4 Asta,Chennai,2017,12000,Diesel,0,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,,7.3
Maruti Wagon R LXI Optional,Kolkata,2014,25000,Petrol,0,First,20.51 kmpl,998 CC,67.04 bhp,5.0,,2.75
Hyundai i20 1.4 Asta Option,Bangalore,2017,43000,Diesel,0,Second,22.54 kmpl,1396 CC,88.73 bhp,5.0,,8.2
Volkswagen Polo GT TSI,Mumbai,2015,57022,Petrol,1,First,17.21 kmpl,1197 CC,103.6 bhp,5.0,,6.51
Ford Figo Diesel Titanium,Pune,2015,92000,Diesel,0,First,20.0 kmpl,1399 CC,68.05 bhp,5.0,,4.25
Maruti Swift ZXI,Coimbatore,2014,33372,Petrol,0,Second,18.6 kmpl,1197 CC,85.8 bhp,5.0,,6.21
Hyundai Grand i10 CRDi Magna,Kochi,2016,52625,Diesel,0,First,24.0 kmpl,1120 CC,70 bhp,5.0,,4.58
Mahindra Xylo H4,Chennai,2016,215000,Diesel,0,First,14.02 kmpl,2179 CC,118.3 bhp,7.0,11.67 Lakh,7.5
Maruti Alto Green LXi (CNG),Delhi,2012,65537,CNG,0,First,26.83 km/kg,796 CC,38.4 bhp,5.0,,2.1
Hyundai i10 Magna 1.1,Coimbatore,2014,60138,Petrol,0,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,,4.09
Skoda Octavia Elegance 2.0 TDI AT,Mumbai,2014,84000,Diesel,1,First,19.3 kmpl,1968 CC,141 bhp,5.0,,10.75
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,2014,47000,Diesel,1,First,15.97 kmpl,2993 CC,258 bhp,7.0,,41.5
Maruti Celerio VXI AT,Hyderabad,2014,33450,Petrol,1,First,23.1 kmpl,998 CC,67.04 bhp,5.0,,4.4
Volkswagen Vento Diesel Comfortline,Jaipur,2013,125000,Diesel,0,Second,20.54 kmpl,1598 CC,103.6 bhp,5.0,,6.25
BMW 3 Series 320d Highline,Pune,2011,99606,Diesel,1,Second,16.07 kmpl,1995 CC,181 bhp,5.0,,10.5
Maruti Ertiga ZDI,Mumbai,2014,64000,Diesel,0,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,,7.25
Ford Figo Diesel ZXI,Hyderabad,2013,51000,Diesel,0,First,20.0 kmpl,1399 CC,68.05 bhp,5.0,,3.2
Volkswagen Polo 1.2 MPI Highline,Mumbai,2014,57000,Petrol,0,First,16.47 kmpl,1198 CC,74 bhp,5.0,,3.95
Audi A6 3.0 TDI quattro,Coimbatore,2009,48040,Diesel,1,Second,16.77 kmpl,2967 CC,241.38 bhp,5.0,,12.07
Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43200,Diesel,0,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,25.52 Lakh,18.6
Hyundai Verna 1.6 CRDi EX AT,Delhi,2013,66000,Diesel,1,First,22.32 kmpl,1582 CC,126.3 bhp,5.0,,5.7
Hyundai Santro Xing GL Plus,Kolkata,2013,31000,Petrol,0,First,17.92 kmpl,1086 CC,62.1 bhp,5.0,,1.75
Audi A4 2.0 TDI,Delhi,2011,46000,Diesel,1,Second,16.55 kmpl,1968 CC,147.51 bhp,5.0,,10.99
Audi A4 2.0 TDI,Kolkata,2012,47346,Diesel,1,First,16.55 kmpl,1968 CC,147.51 bhp,5.0,,14.5
Skoda Laura 1.9 TDI MT Ambiente,Jaipur,2009,100000,Diesel,0,First,17.0 kmpl,1896 CC,105 bhp,5.0,,3.11
Honda CR-V 2.0L 2WD AT,Coimbatore,2015,63856,Petrol,1,First,13.7 kmpl,1997 CC,153.86 bhp,5.0,,13.96
Hyundai Verna 1.6 SX CRDi (O),Coimbatore,2015,72996,Diesel,0,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,,7.11
Honda Mobilio RS i DTEC,Chennai,2014,23000,Diesel,0,First,24.5 kmpl,1498 CC,98.6 bhp,7.0,,6.9
Hyundai i20 1.2 Asta Option,Coimbatore,2018,15985,Petrol,0,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,7.77
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Kolkata,2011,98000,Diesel,0,Second,12.8 kmpl,2494 CC,102 bhp,8.0,,5.5
Hyundai i20 Magna 1.2,Hyderabad,2014,70089,Petrol,0,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,5.35
Mahindra Bolero VLX BS IV,Chennai,2011,99000,Diesel,0,Second,13.6 kmpl,2523 CC,63 bhp,7.0,,4.5
Volkswagen Vento 1.5 TDI Comfortline,Jaipur,2014,72000,Diesel,0,First,20.34 kmpl,1498 CC,103.2 bhp,5.0,,4.75
Jaguar XF 2.2 Litre Luxury,Coimbatore,2015,44194,Diesel,1,First,16.36 kmpl,2179 CC,187.7 bhp,5.0,,32.8
Maruti Zen LXi - BS III,Mumbai,2005,102000,Petrol,0,First,17.3 kmpl,993 CC,60 bhp,5.0,,0.7
Mercedes-Benz E-Class Facelift,Coimbatore,2018,56652,Diesel,1,First,13.0 kmpl,2987 CC,258 bhp,5.0,,50.29
Toyota Fortuner 3.0 Diesel,Mumbai,2010,41650,Diesel,0,Second,11.5 kmpl,2982 CC,171 bhp,7.0,,10.99
Hyundai Grand i10 AT Asta,Coimbatore,2015,61717,Petrol,1,First,18.9 kmpl,1197 CC,82 bhp,5.0,,5.57
Hyundai Xcent 1.2 CRDi S,Jaipur,2018,25302,Diesel,0,First,25.4 kmpl,1186 CC,73.97 bhp,5.0,8.56 Lakh,5.9
Hyundai Creta 1.6 VTVT S,Coimbatore,2016,47016,Petrol,0,First,15.29 kmpl,1591 CC,121.3 bhp,5.0,,9.43
Hyundai i10 Sportz,Bangalore,2010,69000,Petrol,0,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.9
Honda Brio S MT,Delhi,2016,32700,Petrol,0,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,,3.68
Toyota Fortuner 4x2 AT,Coimbatore,2015,101337,Diesel,1,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,,21.67
Audi A4 2.0 TDI Multitronic,Ahmedabad,2011,59000,Diesel,1,First,16.55 kmpl,1968 CC,140 bhp,5.0,,12.5
Toyota Innova Crysta 2.8 ZX AT,Kochi,2018,41736,Diesel,1,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,27 Lakh,19.92
Honda City i DTEC VX,Jaipur,2014,71649,Diesel,0,First,25.1 kmpl,1498 CC,98.6 bhp,5.0,,6.75
Honda City i DTEC VX,Kochi,2015,80606,Diesel,0,First,25.1 kmpl,1498 CC,98.6 bhp,5.0,,6.96
Renault KWID 1.0 RXT Optional,Jaipur,2017,63262,Petrol,0,First,21.7 kmpl,999 CC,67 bhp,5.0,4.78 Lakh,3.25
Maruti Swift DDiS ZDI Plus,Hyderabad,2018,5456,Diesel,0,First,28.4 kmpl,1248 CC,74 bhp,5.0,,8.65
Maruti Celerio VXI Optional AMT,Pune,2017,7500,Petrol,1,First,23.1 kmpl,998 CC,67.04 bhp,5.0,6.14 Lakh,5.0
Mahindra XUV500 W8 2WD,Delhi,2011,66000,Diesel,0,First,15.1 kmpl,2179 CC,140 bhp,7.0,,5.5
Hyundai i10 Magna,Jaipur,2010,66770,Petrol,0,Second,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.6
Hyundai i10 Magna 1.1,Kochi,2014,58472,Petrol,0,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,,3.41
Maruti Dzire VXI,Kolkata,2011,46687,Petrol,0,First,22.0 kmpl,1197 CC,81.80 bhp,5.0,7.3 Lakh,2.7
Maruti Grand Vitara AT,Chennai,2008,77000,Petrol,1,Fourth & Above,9.7 kmpl,1995 CC,163.5 bhp,5.0,,5.5
Audi TT 40 TFSI,Kolkata,2012,7000,Petrol,1,First,14.33 kmpl,1984 CC,226.6 bhp,4.0,,35.0
Mercedes-Benz New C-Class C 200 CGI,Mumbai,2011,48000,Petrol,1,Second,14.74 kmpl,1991 CC,184 bhp,5.0,,9.75
Nissan Sunny 2011-2014 Diesel XV,Mumbai,2013,47000,Diesel,0,First,21.64 kmpl,1461 CC,84.8 bhp,5.0,,4.25
Maruti Wagon R LXI,Ahmedabad,2015,51530,Petrol,0,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,3.2
Maruti Swift Dzire ZDI,Bangalore,2014,25789,Diesel,0,Second,23.4 kmpl,1248 CC,74 bhp,5.0,,6.85
Honda Amaze S i-Dtech,Delhi,2015,48000,Diesel,0,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,4.5
Maruti Swift ZDI,Delhi,2012,52000,Diesel,0,First,28.4 kmpl,1248 CC,74 bhp,5.0,,3.55
Hyundai Accent Executive CNG,Hyderabad,2010,95637,CNG,0,Second,13.2 km/kg,1495 CC,93.7 bhp,5.0,,1.9
Mahindra Scorpio LX 2.6 Turbo,Hyderabad,2008,131000,Diesel,0,First,10.5 kmpl,2609 CC,120 bhp,7.0,,3.6
Mercedes-Benz E-Class E250 CDI Avantgrade,Kochi,2015,42076,Diesel,1,First,13.0 kmpl,2143 CC,201.1 bhp,5.0,,21.8
Toyota Fortuner 4x2 Manual,Mumbai,2012,76000,Diesel,0,Second,13.0 kmpl,2982 CC,168.5 bhp,7.0,,13.5
Datsun redi-GO T Option,Bangalore,2016,20487,Petrol,0,First,22.7 kmpl,799 CC,53.64 bhp,5.0,4.37 Lakh,2.66
Honda City V MT,Delhi,2010,43000,Petrol,0,Second,16.8 kmpl,1497 CC,116.3 bhp,5.0,,3.75
Toyota Camry Hybrid,Pune,2018,17000,Petrol,1,First,19.16 kmpl,2494 CC,158.2 bhp,5.0,,32.0
Honda City i DTec V,Coimbatore,2016,60805,Diesel,0,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,,8.07
Volkswagen Jetta 2012-2014 2.0L TDI Trendline,Kochi,2012,58775,Diesel,0,First,19.33 kmpl,1968 CC,138.1 bhp,5.0,,5.64
Audi A6 2011-2015 2.0 TDI,Hyderabad,2013,70181,Diesel,1,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,,23.99
Maruti Ertiga VDI,Coimbatore,2016,85827,Diesel,0,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,,7.5
Mercedes-Benz New C-Class C 220 CDI Style,Jaipur,2016,58205,Diesel,1,First,19.27 kmpl,2143 CC,167.62 bhp,5.0,,27.0
Maruti Swift Dzire Vdi BSIV,Mumbai,2008,91000,Diesel,0,Second,19.3 kmpl,1248 CC,73.9 bhp,5.0,,2.85
Renault Duster 110PS Diesel RxZ Pack,Pune,2012,74000,Diesel,0,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,6.35
Maruti Ritz VDi,Hyderabad,2010,79324,Diesel,0,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,,3.3
Maruti Swift Dzire VXI,Bangalore,2013,38623,Petrol,0,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,,5.0
Maruti Swift ZDi,Coimbatore,2014,59923,Diesel,0,First,22.9 kmpl,1248 CC,74 bhp,5.0,,6.46
Hyundai EON Sportz,Jaipur,2017,23360,Petrol,0,First,21.1 kmpl,814 CC,55.2 bhp,5.0,,3.75
Maruti Zen VXI BSII,Kochi,2003,61495,Petrol,0,Third,17.3 kmpl,993 CC,60 bhp,5.0,,1.52
Maruti Eeco 7 Seater Standard,Coimbatore,2012,56661,Petrol,0,First,15.1 kmpl,1196 CC,73 bhp,7.0,4.98 Lakh,3.61
Audi Q5 30 TDI quattro Premium,Coimbatore,2017,40318,Diesel,1,First,14.16 kmpl,1968 CC,174.3 bhp,5.0,,43.74
Audi Q3 2.0 TDI,Chennai,2014,60000,Diesel,1,First,15.73 kmpl,1968 CC,174.33 bhp,5.0,,20.0
Smart Fortwo CDI AT,Pune,2008,103000,Diesel,1,Second,0.0 kmpl,799 CC,null bhp,2.0,,3.0
Maruti Swift Dzire VDi,Hyderabad,2010,130000,Diesel,0,First,19.3 kmpl,1248 CC,73.9 bhp,5.0,,3.65
Tata Sumo DX,Mumbai,2013,20000,Diesel,0,First,14.07 kmpl,1978 CC,83.1 bhp,10.0,,5.25
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Hyderabad,2016,76000,Diesel,1,First,15.97 kmpl,2993 CC,258 bhp,7.0,,58.0
Honda City i-VTEC CVT VX,Mumbai,2015,30000,Petrol,1,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,15.29 Lakh,8.65
Tata Indigo eCS eLX BS IV,Delhi,2015,150000,Diesel,0,First,25.0 kmpl,1396 CC,69.01 bhp,5.0,,2.5
Volkswagen Vento TSI,Chennai,2014,28000,Petrol,1,First,16.93 kmpl,1197 CC,103.6 bhp,5.0,,7.75
Maruti Celerio VXI,Bangalore,2015,74000,Petrol,0,First,23.1 kmpl,998 CC,67.04 bhp,5.0,,4.15
Toyota Fortuner 3.0 Diesel,Delhi,2011,75000,Diesel,0,First,11.5 kmpl,2982 CC,171 bhp,7.0,,10.85
Mitsubishi Outlander 2.4,Delhi,2010,76000,Petrol,1,Second,11.3 kmpl,2360 CC,170 bhp,5.0,,5.53
Volkswagen Jetta 2007-2011 1.9 Highline TDI,Pune,2014,64889,Diesel,1,First,15.5 kmpl,1896 CC,105 bhp,5.0,,11.5
Porsche Cayman 2009-2012 S,Hyderabad,2010,10000,Petrol,0,First,9.0 kmpl,3436 CC,null bhp,2.0,,40.0
Hyundai Creta 1.6 CRDi SX,Kolkata,2015,43000,Diesel,0,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,9.25
Skoda Fabia 1.2 MPI Ambiente Petrol,Pune,2011,47490,Petrol,0,First,17.5 kmpl,1198 CC,75 bhp,5.0,,2.29
Ford EcoSport 1.5 TDCi Titanium,Chennai,2015,80000,Diesel,0,First,22.77 kmpl,1498 CC,98.59 bhp,5.0,,7.0
Maruti Zen Estilo 1.1 LXI BSIII,Bangalore,2007,60000,Petrol,0,Second,18.2 kmpl,1061 CC,64 bhp,5.0,,1.65
Maruti Ciaz 1.4 Delta,Ahmedabad,2017,6006,Petrol,0,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,,8.25
Mercedes-Benz New C-Class C 200 Avantgarde Edition C,Kochi,2011,71703,Petrol,1,First,14.74 kmpl,1991 CC,181.03 bhp,5.0,,9.14
Honda Amaze SX i-VTEC,Hyderabad,2016,33000,Petrol,0,First,17.8 kmpl,1198 CC,86.7 bhp,5.0,,6.5
Toyota Etios GD,Kolkata,2012,60000,Diesel,0,First,23.59 kmpl,1364 CC,null bhp,5.0,,2.95
Renault Duster 85PS Diesel RxL,Jaipur,2015,91000,Diesel,0,First,19.87 kmpl,1461 CC,83.8 bhp,5.0,,5.75
Maruti Wagon R LXI LPG BSIV,Hyderabad,2012,72000,LPG,0,First,26.2 km/kg,998 CC,58.2 bhp,5.0,,2.85
Volkswagen Polo Petrol Highline 1.2L,Kolkata,2011,43000,Petrol,0,Second,16.47 kmpl,1198 CC,73.9 bhp,5.0,,2.1
Hyundai Creta 1.6 SX Plus Diesel,Coimbatore,2017,63770,Diesel,0,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,13.55
Jaguar XF Diesel,Kolkata,2012,43510,Diesel,1,First,14.74 kmpl,2993 CC,270.9 bhp,5.0,,20.5
Jeep Compass 2.0 Limited 4X4,Mumbai,2017,52000,Diesel,0,First,16.3 kmpl,1956 CC,170 bhp,5.0,24.26 Lakh,20.0
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2018,31427,Diesel,1,First,15.68 kmpl,1999 CC,177 bhp,5.0,75.12 Lakh,59.72
Maruti Baleno Alpha Diesel,Kolkata,2016,29000,Diesel,0,First,27.39 kmpl,1248 CC,74 bhp,5.0,9.53 Lakh,6.5
Maruti Ciaz ZDi SHVS,Ahmedabad,2016,56000,Diesel,0,First,28.09 kmpl,1248 CC,88.5 bhp,5.0,,7.5
Maruti SX4 Vxi BSIII,Jaipur,2007,76000,Petrol,0,Second,15.0 kmpl,1586 CC,104.68 bhp,5.0,,2.15
Hyundai Elantra CRDi SX,Coimbatore,2015,53615,Diesel,0,First,22.7 kmpl,1582 CC,126.24 bhp,5.0,,8.44
Mitsubishi Pajero Sport 4X4,Bangalore,2013,132000,Diesel,0,First,13.5 kmpl,2477 CC,175.56 bhp,7.0,34.6 Lakh,12.49
Volkswagen Ameo 1.2 MPI Comfortline,Pune,2017,14800,Petrol,0,First,17.0 kmpl,1198 CC,73.75 bhp,5.0,,5.48
Maruti Ritz VXi,Hyderabad,2013,35433,Petrol,0,First,18.5 kmpl,1197 CC,85.80 bhp,5.0,,4.2
Hyundai Verna CRDi SX,Hyderabad,2013,82966,Diesel,0,First,16.8 kmpl,1493 CC,110 bhp,5.0,,7.2
Maruti Swift Dzire Tour LDI,Jaipur,2014,96000,Diesel,0,First,23.4 kmpl,1248 CC,74 bhp,5.0,,4.8
Mahindra KUV 100 mFALCON D75 K6,Kochi,2017,39528,Diesel,0,First,25.32 kmpl,1198 CC,77 bhp,6.0,,5.83
Toyota Innova Crysta 2.4 ZX MT,Coimbatore,2018,92056,Diesel,0,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,26.45 Lakh,18.39
Maruti Baleno Delta 1.2,Pune,2016,14930,Petrol,0,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,,5.85
Honda Jazz VX Diesel,Mumbai,2016,38000,Diesel,0,First,27.3 kmpl,1498 CC,98.6 bhp,5.0,11.15 Lakh,6.21
Hyundai i20 1.2 Asta,Delhi,2013,71000,Petrol,0,First,17.0 kmpl,1197 CC,80 bhp,5.0,,3.65
Hyundai i20 Sportz Diesel,Delhi,2012,71000,Diesel,0,First,23.0 kmpl,1396 CC,90 bhp,5.0,,3.7
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Pune,2015,50000,Diesel,1,First,19.27 kmpl,2143 CC,167.62 bhp,5.0,,30.0
Hyundai Xcent 1.2 Kappa Base,Kochi,2016,48163,Petrol,0,First,19.1 kmpl,1197 CC,82 bhp,5.0,,4.85
Hyundai Grand i10 AT Asta,Coimbatore,2017,19168,Petrol,1,First,18.9 kmpl,1197 CC,82 bhp,5.0,,6.93
Maruti Alto 800 VXI,Kolkata,2016,26000,Petrol,0,First,22.74 kmpl,796 CC,47.3 bhp,5.0,,2.6
Chevrolet Sail Hatchback 1.2 LS,Kolkata,2014,37400,Petrol,0,First,18.2 kmpl,1199 CC,82.5 bhp,5.0,,1.89
Mercedes-Benz C-Class Progressive C 220d,Mumbai,2018,8682,Diesel,1,First,0.0 kmpl,1950 CC,194 bhp,5.0,52.26 Lakh,39.5
Skoda Superb Elegance 1.8 TSI AT,Mumbai,2012,95000,Petrol,1,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,,10.0
Audi A4 2.0 TDI,Kolkata,2009,34000,Diesel,1,First,16.55 kmpl,1968 CC,147.51 bhp,5.0,,9.95
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Mumbai,2014,95000,Diesel,0,Second,12.8 kmpl,2494 CC,102 bhp,8.0,,9.45
Mercedes-Benz CLA 200 CDI Sport,Coimbatore,2017,13689,Diesel,1,First,17.9 kmpl,2143 CC,136 bhp,5.0,,28.25
Hyundai i10 Era,Jaipur,2008,84000,Petrol,0,Second,19.81 kmpl,1086 CC,68.05 bhp,5.0,,1.8
Maruti Swift Dzire VXi,Kolkata,2008,47000,Petrol,0,Second,17.5 kmpl,1298 CC,85.8 bhp,5.0,,1.4
Skoda Rapid 1.5 TDI AT Ambition,Ahmedabad,2015,60001,Diesel,1,First,21.66 kmpl,1498 CC,103.52 bhp,5.0,,7.25
Maruti Ritz VDi,Hyderabad,2012,96000,Diesel,0,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,,3.6
Hyundai Accent GLS 1.6,Jaipur,2004,47300,Petrol,0,Second,14.4 kmpl,1599 CC,94 bhp,5.0,,1.2
Honda Amaze SX i-VTEC,Coimbatore,2014,28246,Petrol,0,Second,17.8 kmpl,1198 CC,86.7 bhp,5.0,,4.94
Maruti Wagon R LXI,Delhi,2007,65000,Petrol,0,Second,18.9 kmpl,998 CC,67.1 bhp,5.0,,1.25
